RPM,MAP,Spark Knock R,Spark Knock F,
4738,56.42,1,2.25,
4747,57.53,1,2.25,
4758,60.48,1,2.25,
4764,62.7,1,2.25,
4775,62.33,1,2.25,
4787,64.91,1,2.25,
4798,67.5,1,2.25,
4806,69.34,1,2.25,
4821,71.18,1,2,
4830,72.29,1,2,
4844,74.14,1,2.25,
4853,74.88,1,2.25,
4865,75.98,1,2.25,
4877,76.35,1,2.25,
4893,77.09,1,2,
4898,78.2,1,4.5,
4914,80.78,1,4.5,
4926,80.78,1,4.5,
4943,81.15,1,4.5,
4955,81.89,1,4.5,
4970,82.25,1,4.5,
4975,81.89,1,4.5,
4992,82.25,1,4.5,
5007,82.62,1,4.5,
5021,82.99,1,4.75,
5028,83.36,1,4.75,
5047,83.73,1,4.75,
5059,84.84,1,4.25,
5059,56.42,1,4.25,
4735,24.69,0,3.5,
4621,19.89,0,3.5,
4424,17.31,0,3.5,
4263,17.31,0,3.5,
4096,24.69,0,2.75,
4267,32.44,0,2.75,
4316,37.97,0,2.75,
4215,40.56,0,2.75,
4201,45.35,0,2.75,
4211,50.15,0.25,2.75,
4215,54.58,1,3,
4214,58.27,1,3,
4216,58.64,1,3,
4220,56.79,1,3,
4204,50.52,0.5,3,
4196,42.77,0,2.25,
4189,37.61,0,2.25,
4180,36.13,0,2,
4176,34.65,0,2,
4166,34.28,0,2,
4155,34.28,0,2,
4148,34.28,0,2,
4144,34.28,0,2,
4137,34.28,0,1.5,
4123,34.65,0,1.5,
4121,34.28,0,1.5,
4111,34.28,0,1.5,
4105,34.65,0,1.5,
4091,34.65,0,1.5,
4088,34.65,0,1.5,
4079,34.65,0,1.25,
4068,34.65,0,1.25,
4062,34.65,0,1.25,
4056,35.02,0,1.25,
4047,35.02,0,1.25,
4040,35.39,0,1.25,
4032,35.39,0,1,
4029,35.02,0,1,
4020,35.39,0,1,
4013,35.02,0,1,
4006,35.76,0,1,
4006,35.39,0,1,
3999,37.61,0,1,
3985,37.61,0,0.75,
3983,37.97,0,0.75,
3979,39.08,0,0.75,
3979,39.82,0,0.75,
3979,42.03,0,0.75,
3972,43.14,0,0.75,
3975,45.72,0,0.75,
3976,49.04,0.25,0.75,
3975,51.63,1,1.5,
3979,52.73,1,1.5,
3981,53.84,1,1.5,
3981,54.58,1,1.5,
3980,54.58,1,1.25,
3986,55.32,1,1.25,
3987,55.32,1,1.25,
3985,55.69,1,1.25,
3986,56.06,1,1.25,
3988,53.1,1,1.25,
3990,51.63,1,1.25,
3982,51.63,1,1.25,
3984,51.26,1,1.25,
3987,50.89,1,1.25,
3985,50.89,1,1.25,
3983,49.04,0.25,0.75,
3977,49.04,0.25,0.75,
3979,48.31,0,0.25,
3978,47.57,0,0.25,
3975,47.57,0,0.25,
3974,46.83,0,0.25,
3970,46.83,0,0.25,
3972,46.46,0,0.25,
3970,46.83,0,0.25,
3961,46.46,0,0.25,
3966,45.72,0,0.25,
3961,45.35,0,0.25,
3958,45.35,0,0.25,
3956,45.35,0,0.25,
3954,45.35,0,0,
